,COMPANY,DATE,OPEN,CLOSE
90956,SBER,2012-06-21,84.98,85.36
90957,SBER,2012-06-22,84.23,83.76
90958,SBER,2012-06-25,83.7,82.3
90959,SBER,2012-06-26,82.4,83.6
90960,SBER,2012-06-27,83.95,84.5
90961,SBER,2012-06-28,84.95,82.8
90962,SBER,2012-06-29,84.03,86.39
90963,SBER,2012-07-02,86.19,87.65
90964,SBER,2012-07-03,87.96,90.94
90965,SBER,2012-07-04,90.77,91.1
90966,SBER,2012-07-05,90.59,90.92
90967,SBER,2012-07-06,90.44,89.2
90968,SBER,2012-07-09,88.9,90.02
90969,SBER,2012-07-10,89.55,91.0
90970,SBER,2012-07-11,90.53,90.01
90971,SBER,2012-07-12,89.79,88.92
90972,SBER,2012-07-13,89.95,90.98
90973,SBER,2012-07-16,91.0,90.85
90974,SBER,2012-07-17,91.44,91.22
90975,SBER,2012-07-18,91.49,91.6
90976,SBER,2012-07-19,92.15,92.15
90977,SBER,2012-07-20,91.64,90.12
90978,SBER,2012-07-23,89.26,86.0
90979,SBER,2012-07-24,86.86,84.45
90980,SBER,2012-07-25,83.99,86.9
90981,SBER,2012-07-26,87.0,88.45
90982,SBER,2012-07-27,89.1,90.31
90983,SBER,2012-07-30,90.53,91.24
90984,SBER,2012-07-31,91.5,89.73
90985,SBER,2012-08-01,89.5,89.39
90986,SBER,2012-08-02,89.39,88.79
90987,SBER,2012-08-03,88.78,91.66
90988,SBER,2012-08-06,91.92,93.3
90989,SBER,2012-08-07,92.97,93.97
90990,SBER,2012-08-08,93.51,93.94
90991,SBER,2012-08-09,94.39,93.87
90992,SBER,2012-08-10,93.33,92.85
90993,SBER,2012-08-13,93.12,93.18
90994,SBER,2012-08-14,93.46,93.58
90995,SBER,2012-08-15,93.15,92.98
90996,SBER,2012-08-16,93.51,92.82
90997,SBER,2012-08-17,93.33,92.05
90998,SBER,2012-08-20,92.26,91.52
90999,SBER,2012-08-21,91.94,93.57
91000,SBER,2012-08-22,92.8,92.55
91001,SBER,2012-08-23,93.36,93.04
91002,SBER,2012-08-24,92.49,92.91
91003,SBER,2012-08-27,93.44,92.81
91004,SBER,2012-08-28,92.67,94.48
91005,SBER,2012-08-29,94.49,94.54
91006,SBER,2012-08-30,94.35,93.49
91007,SBER,2012-08-31,93.62,93.16
91008,SBER,2012-09-03,93.21,94.08
91009,SBER,2012-09-04,94.16,93.09
91010,SBER,2012-09-05,92.86,92.85
91011,SBER,2012-09-06,93.16,93.95
91012,SBER,2012-09-07,94.32,93.86
91013,SBER,2012-09-10,93.59,94.44
91014,SBER,2012-09-11,93.72,94.03
91015,SBER,2012-09-12,94.29,93.58
91016,SBER,2012-09-13,93.41,92.75
91017,SBER,2012-09-14,95.0,97.05
91018,SBER,2012-09-17,96.33,95.57
91019,SBER,2012-09-18,95.01,94.75
91020,SBER,2012-09-19,94.9,93.78
91021,SBER,2012-09-20,93.14,93.77
91022,SBER,2012-09-21,94.45,94.16
91023,SBER,2012-09-24,93.83,94.17
91024,SBER,2012-09-25,94.35,93.75
91025,SBER,2012-09-26,93.0,90.75
91026,SBER,2012-09-27,91.45,90.07
91027,SBER,2012-09-28,90.96,90.99
91028,SBER,2012-10-01,90.61,92.33
91029,SBER,2012-10-02,91.99,91.9
91030,SBER,2012-10-03,91.54,91.92
91031,SBER,2012-10-04,92.3,91.47
91032,SBER,2012-10-05,92.01,93.02
91033,SBER,2012-10-08,92.7,92.6
91034,SBER,2012-10-09,92.97,92.63
91035,SBER,2012-10-10,92.23,92.29
91036,SBER,2012-10-11,91.83,92.64
91037,SBER,2012-10-12,92.44,91.5
91038,SBER,2012-10-15,91.5,91.28
91039,SBER,2012-10-16,92.08,92.19
91040,SBER,2012-10-17,92.21,93.12
91041,SBER,2012-10-18,93.24,93.7
91042,SBER,2012-10-19,93.5,93.19
91043,SBER,2012-10-22,92.7,94.1
91044,SBER,2012-10-23,93.81,93.59
91045,SBER,2012-10-24,94.03,93.38
91046,SBER,2012-10-25,93.33,92.89
91047,SBER,2012-10-26,92.19,91.95
91048,SBER,2012-10-29,91.65,91.7
91049,SBER,2012-10-30,91.26,91.2
91050,SBER,2012-10-31,91.32,91.79
91051,SBER,2012-11-01,91.6,91.84
91052,SBER,2012-11-02,91.98,91.95
91053,SBER,2012-11-06,91.8,91.34
91054,SBER,2012-11-07,91.73,89.95
91055,SBER,2012-11-08,89.25,86.34
91056,SBER,2012-11-09,85.95,85.8
91057,SBER,2012-11-12,86.03,86.78
91058,SBER,2012-11-13,86.34,84.31
91059,SBER,2012-11-14,85.02,84.72
91060,SBER,2012-11-15,84.0,86.09
91061,SBER,2012-11-16,85.82,85.98
91062,SBER,2012-11-19,86.61,87.34
91063,SBER,2012-11-20,87.46,87.0
91064,SBER,2012-11-21,86.5,87.88
91065,SBER,2012-11-22,88.01,88.01
91066,SBER,2012-11-23,88.27,89.31
91067,SBER,2012-11-26,89.41,89.2
91068,SBER,2012-11-27,89.63,89.2
91069,SBER,2012-11-28,88.75,87.73
91070,SBER,2012-11-29,88.81,87.91
91071,SBER,2012-11-30,87.77,91.41
91072,SBER,2012-12-03,91.45,92.8
91073,SBER,2012-12-04,92.16,91.84
91074,SBER,2012-12-05,92.25,93.83
91075,SBER,2012-12-06,93.68,93.58
91076,SBER,2012-12-07,93.75,93.2
91077,SBER,2012-12-10,93.41,93.59
91078,SBER,2012-12-11,93.57,93.52
91079,SBER,2012-12-12,93.76,93.86
91080,SBER,2012-12-13,93.66,93.39
91081,SBER,2012-12-14,93.27,93.42
91082,SBER,2012-12-17,93.56,93.54
91083,SBER,2012-12-18,94.0,95.11
91084,SBER,2012-12-19,95.38,94.53
91085,SBER,2012-12-20,94.01,94.69
91086,SBER,2012-12-21,93.65,93.5
91087,SBER,2012-12-24,93.16,92.5
91088,SBER,2012-12-25,92.65,92.38
91089,SBER,2012-12-26,92.4,92.35
91090,SBER,2012-12-27,92.45,92.82
91091,SBER,2012-12-28,92.89,92.94
91092,SBER,2013-01-08,96.5,98.37
91093,SBER,2013-01-09,98.41,98.23
91094,SBER,2013-01-10,98.35,98.41
91095,SBER,2013-01-11,98.8,99.56
91096,SBER,2013-01-14,99.72,100.99
91097,SBER,2013-01-15,100.7,99.85
91098,SBER,2013-01-16,99.93,99.97
91099,SBER,2013-01-17,99.9,101.15
91100,SBER,2013-01-18,101.51,103.48
91101,SBER,2013-01-21,103.55,103.64
91102,SBER,2013-01-22,103.7,102.35
91103,SBER,2013-01-23,102.73,103.45
91104,SBER,2013-01-24,103.06,102.48
91105,SBER,2013-01-25,102.4,103.67
91106,SBER,2013-01-28,103.96,106.9
91107,SBER,2013-01-29,107.2,106.55
91108,SBER,2013-01-30,107.18,107.8
91109,SBER,2013-01-31,107.5,109.59
91110,SBER,2013-02-01,109.57,108.36
91111,SBER,2013-02-04,108.77,107.2
91112,SBER,2013-02-05,106.8,107.75
91113,SBER,2013-02-06,108.26,106.8
91114,SBER,2013-02-07,106.73,105.65
91115,SBER,2013-02-08,105.98,107.08
91116,SBER,2013-02-11,107.01,107.04
91117,SBER,2013-02-12,106.58,108.48
91118,SBER,2013-02-13,109.17,108.8
91119,SBER,2013-02-14,108.66,107.62
91120,SBER,2013-02-15,107.82,105.08
91121,SBER,2013-02-18,105.15,106.23
91122,SBER,2013-02-19,106.14,108.73
91123,SBER,2013-02-20,108.88,107.82
91124,SBER,2013-02-21,106.31,106.74
91125,SBER,2013-02-22,107.06,106.12
91126,SBER,2013-02-25,106.35,106.61
91127,SBER,2013-02-26,105.34,104.14
91128,SBER,2013-02-27,104.41,103.45
91129,SBER,2013-02-28,104.3,104.57
91130,SBER,2013-03-01,104.0,103.09
91131,SBER,2013-03-04,102.8,102.9
91132,SBER,2013-03-05,103.66,103.91
91133,SBER,2013-03-06,104.41,105.33
91134,SBER,2013-03-07,105.35,105.31
91135,SBER,2013-03-11,106.13,106.78
91136,SBER,2013-03-12,106.88,106.07
91137,SBER,2013-03-13,105.75,104.43
91138,SBER,2013-03-14,104.43,104.81
91139,SBER,2013-03-15,105.64,104.42
