;Unnamed: 0;COMPANY;DATE;OPEN;CLOSE
1729;100630;TATN;2012-10-04;203.4;199.99
1730;100631;TATN;2012-10-05;201.57;204.78
1731;100631;TATN;2012-10-06;201.57;204.78
1732;100631;TATN;2012-10-07;201.57;204.78
1733;100632;TATN;2012-10-08;203.86;202.02
1734;100633;TATN;2012-10-09;203.23;203.0
1735;100634;TATN;2012-10-10;202.88;202.5
1736;100635;TATN;2012-10-11;201.28;200.8
1737;100636;TATN;2012-10-12;200.8;198.0
1738;100636;TATN;2012-10-13;200.8;198.0
1739;100636;TATN;2012-10-14;200.8;198.0
1740;100637;TATN;2012-10-15;197.51;200.5
1741;100638;TATN;2012-10-16;202.99;202.29
1742;100639;TATN;2012-10-17;203.0;207.99
1743;100640;TATN;2012-10-18;208.7;208.3
1744;100641;TATN;2012-10-19;208.3;203.88
1745;100641;TATN;2012-10-20;208.3;203.88
1746;100641;TATN;2012-10-21;208.3;203.88
1747;100642;TATN;2012-10-22;203.51;207.01
1748;100643;TATN;2012-10-23;206.44;203.81
1749;100644;TATN;2012-10-24;204.2;201.02
1750;100645;TATN;2012-10-25;201.1;202.0
1751;100646;TATN;2012-10-26;201.0;199.79
1752;100646;TATN;2012-10-27;201.0;199.79
1753;100646;TATN;2012-10-28;201.0;199.79
1754;100647;TATN;2012-10-29;199.28;201.6
1755;100648;TATN;2012-10-30;201.0;197.66
1756;100649;TATN;2012-10-31;198.28;197.48
1757;100650;TATN;2012-11-01;196.48;196.13
1758;100651;TATN;2012-11-02;197.25;195.39
1759;100651;TATN;2012-11-03;197.25;195.39
1760;100651;TATN;2012-11-04;197.25;195.39
1761;100651;TATN;2012-11-05;197.25;195.39
1762;100652;TATN;2012-11-06;195.37;198.0
1763;100653;TATN;2012-11-07;198.93;195.71
1764;100654;TATN;2012-11-08;195.0;195.44
1765;100655;TATN;2012-11-09;194.44;195.05
1766;100655;TATN;2012-11-10;194.44;195.05
1767;100655;TATN;2012-11-11;194.44;195.05
1768;100656;TATN;2012-11-12;196.3;196.3
1769;100657;TATN;2012-11-13;194.78;193.39
1770;100658;TATN;2012-11-14;194.07;193.8
1771;100659;TATN;2012-11-15;192.3;192.63
1772;100660;TATN;2012-11-16;192.46;192.98
1773;100660;TATN;2012-11-17;192.46;192.98
1774;100660;TATN;2012-11-18;192.46;192.98
1775;100661;TATN;2012-11-19;193.87;194.26
1776;100662;TATN;2012-11-20;195.0;193.75
1777;100663;TATN;2012-11-21;195.55;198.06
1778;100664;TATN;2012-11-22;197.83;196.92
1779;100665;TATN;2012-11-23;197.88;201.47
1780;100665;TATN;2012-11-24;197.88;201.47
1781;100665;TATN;2012-11-25;197.88;201.47
1782;100666;TATN;2012-11-26;201.47;200.98
1783;100667;TATN;2012-11-27;201.54;201.8
1784;100668;TATN;2012-11-28;201.13;199.0
1785;100669;TATN;2012-11-29;200.6;198.76
1786;100670;TATN;2012-11-30;198.4;195.04
1787;100670;TATN;2012-12-01;198.4;195.04
1788;100670;TATN;2012-12-02;198.4;195.04
1789;100671;TATN;2012-12-03;197.2;201.0
1790;100672;TATN;2012-12-04;200.12;201.47
1791;100673;TATN;2012-12-05;203.3;204.99
1792;100674;TATN;2012-12-06;204.99;205.77
1793;100675;TATN;2012-12-07;205.77;204.5
1794;100675;TATN;2012-12-08;205.77;204.5
1795;100675;TATN;2012-12-09;205.77;204.5
1796;100676;TATN;2012-12-10;204.97;208.53
1797;100677;TATN;2012-12-11;208.66;209.01
1798;100678;TATN;2012-12-12;209.98;214.0
1799;100679;TATN;2012-12-13;213.49;217.44
1800;100680;TATN;2012-12-14;215.21;214.17
1801;100680;TATN;2012-12-15;215.21;214.17
1802;100680;TATN;2012-12-16;215.21;214.17
1803;100681;TATN;2012-12-17;213.8;212.3
1804;100682;TATN;2012-12-18;213.71;216.5
1805;100683;TATN;2012-12-19;217.5;217.4
1806;100684;TATN;2012-12-20;216.36;218.5
1807;100685;TATN;2012-12-21;216.99;218.0
1808;100685;TATN;2012-12-22;216.99;218.0
1809;100685;TATN;2012-12-23;216.99;218.0
1810;100686;TATN;2012-12-24;217.8;216.11
1811;100687;TATN;2012-12-25;216.5;216.09
1812;100688;TATN;2012-12-26;216.09;217.3
1813;100689;TATN;2012-12-27;217.09;216.93
1814;100690;TATN;2012-12-28;216.98;218.0
1815;100690;TATN;2012-12-29;216.98;218.0
1816;100690;TATN;2012-12-30;216.98;218.0
1817;100690;TATN;2012-12-31;216.98;218.0
1818;100690;TATN;2013-01-01;216.98;218.0
1819;100690;TATN;2013-01-02;216.98;218.0
1820;100690;TATN;2013-01-03;216.98;218.0
1821;100690;TATN;2013-01-04;216.98;218.0
1822;100690;TATN;2013-01-05;216.98;218.0
1823;100690;TATN;2013-01-06;216.98;218.0
1824;100690;TATN;2013-01-07;216.98;218.0
1825;100691;TATN;2013-01-08;220.49;221.59
1826;100692;TATN;2013-01-09;220.98;220.97
1827;100693;TATN;2013-01-10;220.97;218.7
1828;100694;TATN;2013-01-11;218.7;217.91
1829;100694;TATN;2013-01-12;218.7;217.91
1830;100694;TATN;2013-01-13;218.7;217.91
1831;100695;TATN;2013-01-14;217.41;220.51
1832;100696;TATN;2013-01-15;221.0;217.31
1833;100697;TATN;2013-01-16;217.92;216.86
1834;100698;TATN;2013-01-17;216.4;218.6
1835;100699;TATN;2013-01-18;219.0;220.35
1836;100699;TATN;2013-01-19;219.0;220.35
1837;100699;TATN;2013-01-20;219.0;220.35
1838;100700;TATN;2013-01-21;220.29;220.48
1839;100701;TATN;2013-01-22;221.0;220.69
1840;100702;TATN;2013-01-23;220.69;220.4
1841;100703;TATN;2013-01-24;219.7;220.35
1842;100704;TATN;2013-01-25;220.2;221.94
1843;100704;TATN;2013-01-26;220.2;221.94
1844;100704;TATN;2013-01-27;220.2;221.94
1845;100705;TATN;2013-01-28;222.98;225.22
1846;100706;TATN;2013-01-29;224.97;223.79
1847;100707;TATN;2013-01-30;224.21;220.11
1848;100708;TATN;2013-01-31;220.11;221.99
1849;100709;TATN;2013-02-01;221.99;221.5
1850;100709;TATN;2013-02-02;221.99;221.5
1851;100709;TATN;2013-02-03;221.99;221.5
1852;100710;TATN;2013-02-04;222.0;217.8
1853;100711;TATN;2013-02-05;217.5;218.99
1854;100712;TATN;2013-02-06;219.4;218.5
1855;100713;TATN;2013-02-07;218.5;218.04
1856;100714;TATN;2013-02-08;218.04;218.65
1857;100714;TATN;2013-02-09;218.04;218.65
1858;100714;TATN;2013-02-10;218.04;218.65
1859;100715;TATN;2013-02-11;218.98;218.7
1860;100716;TATN;2013-02-12;218.03;216.65
1861;100717;TATN;2013-02-13;217.0;218.72
1862;100718;TATN;2013-02-14;218.01;216.91
1863;100719;TATN;2013-02-15;216.24;216.51
1864;100719;TATN;2013-02-16;216.24;216.51
1865;100719;TATN;2013-02-17;216.24;216.51
1866;100720;TATN;2013-02-18;216.52;214.85
1867;100721;TATN;2013-02-19;214.85;216.8
1868;100722;TATN;2013-02-20;217.0;212.55
1869;100723;TATN;2013-02-21;211.71;212.5
1870;100724;TATN;2013-02-22;212.3;213.24
1871;100724;TATN;2013-02-23;212.3;213.24
1872;100724;TATN;2013-02-24;212.3;213.24
1873;100725;TATN;2013-02-25;213.5;211.26
1874;100726;TATN;2013-02-26;209.28;206.15
1875;100727;TATN;2013-02-27;207.02;204.99
1876;100728;TATN;2013-02-28;206.0;200.3
1877;100729;TATN;2013-03-01;201.12;201.84
1878;100729;TATN;2013-03-02;201.12;201.84
1879;100729;TATN;2013-03-03;201.12;201.84
1880;100730;TATN;2013-03-04;202.0;204.47
1881;100731;TATN;2013-03-05;206.27;205.46
1882;100732;TATN;2013-03-06;206.1;210.42
1883;100733;TATN;2013-03-07;210.4;211.27
1884;100733;TATN;2013-03-08;210.4;211.27
1885;100733;TATN;2013-03-09;210.4;211.27
1886;100733;TATN;2013-03-10;210.4;211.27
1887;100734;TATN;2013-03-11;212.2;215.71
1888;100735;TATN;2013-03-12;215.87;215.5
1889;100736;TATN;2013-03-13;215.0;213.03
1890;100737;TATN;2013-03-14;212.85;210.54
1891;100738;TATN;2013-03-15;211.5;209.3
1892;100738;TATN;2013-03-16;211.5;209.3
1893;100738;TATN;2013-03-17;211.5;209.3
1894;100739;TATN;2013-03-18;205.99;201.0
1895;100740;TATN;2013-03-19;202.05;199.7
1896;100741;TATN;2013-03-20;199.0;199.71
1897;100742;TATN;2013-03-21;200.02;202.0
1898;100743;TATN;2013-03-22;202.02;199.49
1899;100743;TATN;2013-03-23;202.02;199.49
1900;100743;TATN;2013-03-24;202.02;199.49
1901;100744;TATN;2013-03-25;200.01;197.17
1902;100745;TATN;2013-03-26;197.17;196.8
1903;100746;TATN;2013-03-27;197.91;200.98
1904;100747;TATN;2013-03-28;200.97;205.39
1905;100748;TATN;2013-03-29;204.68;206.94
1906;100748;TATN;2013-03-30;204.68;206.94
1907;100748;TATN;2013-03-31;204.68;206.94
1908;100749;TATN;2013-04-01;205.33;207.26
1909;100750;TATN;2013-04-02;207.88;203.7
1910;100751;TATN;2013-04-03;203.7;204.99
1911;100752;TATN;2013-04-04;203.45;203.75
1912;100753;TATN;2013-04-05;203.75;199.9
1913;100753;TATN;2013-04-06;203.75;199.9
1914;100753;TATN;2013-04-07;203.75;199.9
1915;100754;TATN;2013-04-08;200.02;196.02
